t, contact_pattern_index, p_x_true, p_y_true, p_z_true, v_x_true, v_y_true, v_z_true, p_1x_true, p_1y_true, p_1z_true, p_2x_true, p_2y_true, p_2z_true, p_3x_true, p_3y_true, p_3z_true, p_4x_true, p_4y_true, p_4z_true, p_x_est, p_y_est, p_z_est, v_x_est, v_y_est, v_z_est, p_1x_est, p_1y_est, p_1z_est, p_2x_est, p_2y_est, p_2z_est, p_3x_est, p_3y_est, p_3z_est, p_4x_est, p_4y_est, p_4z_est, y_p_1x, y_p_1y, y_p_1z, y_p_2x, y_p_2y, y_p_2z, y_p_3x, y_p_3y, y_p_3z, y_p_4x, y_p_4y, y_p_4z, y_v_1x, y_v_1y, y_v_1z, y_v_2x, y_v_2y, y_v_2z, y_v_3x, y_v_3y, y_v_3z, y_v_4x, y_v_4y, y_v_4z, P_p_bx_std, P_p_by_std, P_p_bz_std, P_v_bx_std, P_v_by_std, P_v_bz_std, P_p_1x_std, P_p_1y_std, P_p_1z_std, P_p_2x_std, P_p_2y_std, P_p_2z_std, P_p_3x_std, P_p_3y_std, P_p_3z_std, P_p_4x_std, P_p_4y_std, P_p_4z_std, p_vpsp_x, p_vpsp_y, p_vpsp_z
0.013,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180000,0.000000,0.000000,0.000000,0.200000,0.090000,0.000000,0.200000,-0.090000,0.000000,-0.200000,0.090000,0.000000,-0.200000,-0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000998,0.000000,0.000998,0.005073,0.005073,0.005073,0.005034,0.005034,0.005034,0.005034,0.005034,0.005034,0.005034,0.005034,0.005034,0.005034,0.005034,0.005034,0.0,0.0,0.0
0.023,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180000,0.000000,0.000000,0.000000,0.200000,0.090000,0.000000,0.200000,-0.090000,0.000000,-0.200000,0.090000,0.000000,-0.200000,-0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001001,0.000000,0.001001,0.007051,0.007051,0.007051,0.005040,0.005040,0.005040,0.005040,0.005040,0.005040,0.005040,0.005040,0.005040,0.005040,0.005040,0.005040,0.0,0.0,0.0
0.034,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180000,0.000000,0.000000,0.000000,0.200000,0.090000,0.000000,0.200000,-0.090000,0.000000,-0.200000,0.090000,0.000000,-0.200000,-0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001009,0.000000,0.001009,0.008518,0.008518,0.008518,0.005042,0.005042,0.005042,0.005042,0.005042,0.005042,0.005042,0.005042,0.005042,0.005042,0.005042,0.005042,0.0,0.0,0.0
0.045,0,0.002293,-0.001758,0.190341,-0.000018,-0.000008,-0.000610,0.201594,0.109049,0.009976,0.202192,-0.110852,0.009589,-0.198405,0.107971,0.010851,-0.197807,-0.111949,0.010466,0.000000,0.000000,0.179583,0.000006,0.000006,-0.094417,0.199367,0.090830,-0.000691,0.199840,-0.089169,-0.000996,-0.200630,0.089778,0.000185,-0.200157,-0.090221,-0.000120,-0.000648,0.000851,-0.000782,-0.000164,0.000852,-0.001095,-0.000646,-0.000228,0.000115,-0.000161,-0.000227,-0.000198,-0.000005,-0.000007,0.098103,-0.000005,-0.000007,0.098103,-0.000005,-0.000007,0.098103,-0.000005,-0.000007,0.098103,0.001023,0.000000,0.001023,0.009690,0.009690,0.009689,0.005045,0.005045,0.005045,0.005045,0.005045,0.005045,0.005045,0.005045,0.005045,0.005045,0.005045,0.005045,0.0,0.0,0.0
0.056,0,0.002293,-0.001758,0.190341,-0.000018,-0.000008,-0.000610,0.201594,0.109049,0.009976,0.202192,-0.110852,0.009589,-0.198405,0.107971,0.010851,-0.197807,-0.111949,0.010466,0.000000,0.000000,0.178364,0.000011,0.000012,-0.183775,0.199352,0.090850,-0.001894,0.199837,-0.089149,-0.002207,-0.200645,0.089773,-0.000997,-0.200161,-0.090226,-0.001310,-0.000015,0.000020,-0.001453,-0.000004,0.000020,-0.001460,-0.000015,-0.000005,-0.001431,-0.000004,-0.000005,-0.001439,-0.000011,-0.000013,0.192521,-0.000011,-0.000013,0.192521,-0.000011,-0.000013,0.192521,-0.000011,-0.000013,0.192521,0.001044,0.000000,0.001044,0.010653,0.010653,0.010653,0.005049,0.005049,0.005049,0.005049,0.005049,0.005049,0.005049,0.005049,0.005049,0.005049,0.005049,0.005049,0.0,0.0,0.0
0.066,0,0.002293,-0.001758,0.190341,-0.000018,-0.000008,-0.000610,0.201594,0.109049,0.009976,0.202192,-0.110852,0.009589,-0.198405,0.107971,0.010851,-0.197807,-0.111949,0.010466,0.000000,0.000000,0.176471,0.000015,0.000019,-0.267072,0.199352,0.090851,-0.003768,0.199837,-0.089148,-0.004081,-0.200645,0.089773,-0.002870,-0.200161,-0.090226,-0.003183,-0.000000,0.000001,-0.002361,0.000000,0.000001,-0.002361,-0.000000,0.000000,-0.002360,0.000000,0.000000,-0.002361,-0.000016,-0.000020,0.281878,-0.000016,-0.000020,0.281878,-0.000016,-0.000020,0.281878,-0.000016,-0.000020,0.281878,0.001073,0.000000,0.001073,0.011455,0.011455,0.011455,0.005055,0.005055,0.005055,0.005055,0.005055,0.005055,0.005055,0.005055,0.005055,0.005055,0.005055,0.005055,0.0,0.0,0.0
0.077,0,0.002293,-0.001758,0.190341,-0.000018,-0.000008,-0.000610,0.201594,0.109049,0.009976,0.202192,-0.110852,0.009589,-0.198405,0.107971,0.010851,-0.197807,-0.111949,0.010466,0.000000,0.000000,0.174037,0.000019,0.000024,-0.343681,0.199352,0.090851,-0.006182,0.199837,-0.089148,-0.006495,-0.200645,0.089773,-0.005285,-0.200161,-0.090226,-0.005598,0.000000,0.000000,-0.003214,0.000000,0.000000,-0.003214,0.000000,0.000000,-0.003214,0.000000,0.000000,-0.003214,-0.000020,-0.000026,0.365175,-0.000020,-0.000026,0.365175,-0.000020,-0.000026,0.365175,-0.000020,-0.000026,0.365175,0.001110,0.000000,0.001110,0.012125,0.012125,0.012125,0.005063,0.005063,0.005063,0.005063,0.005063,0.005063,0.005063,0.005063,0.005063,0.005063,0.005063,0.005063,0.0,0.0,0.0
0.088,0,0.002293,-0.001758,0.190341,-0.000018,-0.000008,-0.000610,0.201594,0.109049,0.009976,0.202192,-0.110852,0.009589,-0.198405,0.107971,0.010851,-0.197807,-0.111949,0.010466,0.000001,0.000001,0.171198,0.000022,0.000029,-0.413317,0.199352,0.090851,-0.009004,0.199837,-0.089148,-0.009317,-0.200645,0.089773,-0.008107,-0.200161,-0.090226,-0.008420,0.000000,0.000000,-0.003999,0.000000,0.000000,-0.003999,0.000000,0.000000,-0.003999,0.000000,0.000000,-0.003999,-0.000024,-0.000031,0.441784,-0.000024,-0.000031,0.441784,-0.000024,-0.000031,0.441784,-0.000024,-0.000031,0.441784,0.001154,0.000000,0.001153,0.012686,0.012686,0.012686,0.005073,0.005073,0.005073,0.005073,0.005073,0.005073,0.005073,0.005073,0.005073,0.005073,0.005073,0.005073,0.0,0.0,0.0
0.099,0,0.002291,-0.001757,0.190311,-0.000035,0.000008,-0.000598,0.201595,0.109049,0.009946,0.202191,-0.110851,0.009559,-0.198405,0.107970,0.010821,-0.197808,-0.111950,0.010435,0.000001,0.000001,0.168078,0.000025,0.000034,-0.475982,0.199353,0.090851,-0.012110,0.199837,-0.089148,-0.012423,-0.200645,0.089773,-0.011212,-0.200160,-0.090226,-0.011525,0.000000,0.000000,-0.004713,0.000000,0.000000,-0.004713,0.000000,0.000000,-0.004713,0.000000,0.000000,-0.004713,-0.000027,-0.000037,0.511420,-0.000027,-0.000037,0.511420,-0.000027,-0.000037,0.511420,-0.000027,-0.000037,0.511420,0.001203,0.000000,0.001203,0.013155,0.013155,0.013154,0.005084,0.005084,0.005084,0.005084,0.005084,0.005084,0.005084,0.005084,0.005084,0.005084,0.005084,0.005084,0.0,0.0,0.0
0.110,0,0.002291,-0.001757,0.190311,-0.000035,0.000008,-0.000598,0.201595,0.109049,0.009946,0.202191,-0.110851,0.009559,-0.198405,0.107970,0.010821,-0.197808,-0.111950,0.010435,0.000001,0.000001,0.164786,0.000028,0.000038,-0.531900,0.199353,0.090852,-0.015387,0.199837,-0.089147,-0.015700,-0.200645,0.089773,-0.014490,-0.200160,-0.090226,-0.014803,0.000000,0.000000,-0.005355,0.000000,0.000000,-0.005355,0.000000,0.000000,-0.005355,0.000000,0.000000,-0.005355,-0.000031,-0.000041,0.574085,-0.000031,-0.000041,0.574085,-0.000031,-0.000041,0.574085,-0.000031,-0.000041,0.574085,0.001257,0.000000,0.001257,0.013546,0.013546,0.013546,0.005097,0.005097,0.005097,0.005097,0.005097,0.005097,0.005097,0.005097,0.005097,0.005097,0.005097,0.005097,0.0,0.0,0.0
