t, contact_pattern_index, p_x_true, p_y_true, p_z_true, v_x_true, v_y_true, v_z_true, p_x_est, p_y_est, p_z_est, v_x_est, v_y_est, v_z_est, p_1x_est, p_1y_est, p_1z_est, p_2x_est, p_2y_est, p_2z_est, p_3x_est, p_3y_est, p_3z_est, p_4x_est, p_4y_est, p_4z_est, y_p_1x, y_p_1y, y_p_1z, y_p_2x, y_p_2y, y_p_2z, y_p_3x, y_p_3y, y_p_3z, y_p_4x, y_p_4y, y_p_4z, y_v_1x, y_v_1y, y_v_1z, y_v_2x, y_v_2y, y_v_2z, y_v_3x, y_v_3y, y_v_3z, y_v_4x, y_v_4y, y_v_4z, P_p_bx_std, P_p_by_std, P_p_bz_std, P_v_bx_std, P_v_by_std, P_v_bz_std, P_p_1x_std, P_p_1y_std, P_p_1z_std, P_p_2x_std, P_p_2y_std, P_p_2z_std, P_p_3x_std, P_p_3y_std, P_p_3z_std, P_p_4x_std, P_p_4y_std, P_p_4z_std, p_vpsp_x, p_vpsp_y, p_vpsp_z
2.004,0,-0.03142787842700665,-0.0026400044048003044,0.2144701002278668,0.00016777174467111263,-0.001462208715787719,-1.8527063496837082e-06,-0.000644,-0.000137,0.199488,-0.000921,0.008660,-0.098281,0.217611,0.088576,0.019377,0.212770,-0.091265,0.014660,-0.180470,0.100360,-0.013607,-0.185311,-0.079481,-0.018324,0.022610,-0.001596,0.024194,0.016571,-0.001398,0.018308,0.025004,0.013105,-0.016955,0.018965,0.013302,-0.022840,0.000914,-0.008666,0.098330,0.000914,-0.008666,0.098330,0.000914,-0.008666,0.098330,0.000914,-0.008666,0.098330,0.000985,0.000000,0.000984,0.001118,0.001118,0.001118,0.004546,0.004546,0.004546,0.004546,0.004546,0.004546,0.004546,0.004546,0.004546,0.004546,0.004546,0.004546,0.0,0.0,0.0
2.017,0,-0.03142570609770083,-0.00265735882736189,0.21446927306627717,0.0001764083578959858,-0.0013516742723035339,-9.44755645829673e-05,-0.000774,0.000028,0.197989,-0.002014,0.004359,-0.200146,0.230891,0.080733,0.031501,0.230529,-0.098846,0.041496,-0.162595,0.077116,-0.037622,-0.162956,-0.102463,-0.027626,0.016179,-0.009592,0.014656,0.021591,-0.009275,0.032434,0.021732,-0.028200,-0.029009,0.027144,-0.027883,-0.011231,0.002005,-0.004354,0.200265,0.002005,-0.004354,0.200265,0.002005,-0.004354,0.200265,0.002005,-0.004354,0.200265,0.000984,0.000000,0.000984,0.001224,0.001224,0.001224,0.004647,0.004647,0.004647,0.004647,0.004647,0.004647,0.004647,0.004647,0.004647,0.004647,0.004647,0.004647,0.0,0.0,0.0
2.029,0,-0.03142344931227725,-0.002675066004230284,0.21446885711461916,0.00018369556635165798,-0.0014486478867792674,-5.497417752103884e-06,-0.000693,0.000026,0.195528,-0.000228,-0.000907,-0.292405,0.129193,0.123127,-0.033613,0.150813,-0.054476,-0.046653,-0.247973,0.066339,0.058284,-0.226353,-0.111265,0.045244,-0.122874,0.051197,-0.078603,-0.096339,0.053582,-0.106411,-0.103173,-0.012988,0.115770,-0.076638,-0.010602,0.087962,0.000280,0.000897,0.292607,0.000280,0.000897,0.292607,0.000280,0.000897,0.292607,0.000280,0.000897,0.292607,0.000985,0.000000,0.000984,0.001322,0.001322,0.001322,0.004655,0.004655,0.004655,0.004655,0.004655,0.004655,0.004655,0.004655,0.004655,0.004655,0.004655,0.004655,0.0,0.0,0.0
2.042,0,-0.031421051952086734,-0.002692299614992662,0.21446804128358457,0.00019778487600461168,-0.001345222621004195,-9.780507969474328e-05,-0.000691,0.000016,0.192091,0.001826,-0.002411,-0.397437,0.175010,0.066484,-0.033365,0.178151,-0.111271,-0.012295,-0.220184,0.061770,0.006124,-0.217043,-0.115985,0.027194,0.055313,-0.068382,0.000283,0.033007,-0.068565,0.041457,0.033551,-0.005522,-0.062980,0.011245,-0.005705,-0.021806,-0.001848,0.002435,0.397761,-0.001848,0.002435,0.397761,-0.001848,0.002435,0.397761,-0.001848,0.002435,0.397761,0.000985,0.000000,0.000984,0.001413,0.001413,0.001413,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.0,0.0,0.0
2.054,0,-0.03141858694279728,-0.0027099010371882727,0.2144676448549824,0.00019528246964690035,-0.0014385934048925413,2.953830858062889e-06,-0.000664,-0.000018,0.187651,0.003993,-0.004081,-0.494372,0.203935,0.102822,0.002536,0.213582,-0.076392,0.000104,-0.193391,0.083025,-0.020041,-0.183744,-0.096188,-0.022474,0.034918,0.043865,0.043312,0.042772,0.042105,0.014942,0.032344,0.025659,-0.031609,0.040198,0.023898,-0.059978,-0.004022,0.004062,0.494822,-0.004022,0.004062,0.494822,-0.004022,0.004062,0.494822,-0.004022,0.004062,0.494822,0.000986,0.000000,0.000985,0.001498,0.001498,0.001498,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.004656,0.0,0.0,0.0
2.067,0,-0.03141596331840686,-0.0027270830114655667,0.2144668162875589,0.0002186888908361029,-0.0013437507172635124,-0.00010236439825152266,-0.000650,-0.000069,0.182272,-0.001297,-0.005632,-0.587043,0.206347,0.134711,0.020307,0.182663,-0.027433,-0.045905,-0.188277,0.178013,0.048898,-0.211961,0.015870,-0.017314,0.002911,0.038497,0.021416,-0.037323,0.059102,-0.055573,0.006173,0.114664,0.083181,-0.034061,0.135270,0.006192,0.001310,0.005571,0.587618,0.001310,0.005571,0.587618,0.001310,0.005571,0.587618,0.001310,0.005571,0.587618,0.000987,0.000000,0.000986,0.001578,0.001578,0.001578,0.004657,0.004657,0.004656,0.004657,0.004657,0.004656,0.004657,0.004657,0.004656,0.004657,0.004657,0.004656,0.0,0.0,0.0
2.079,0,-0.03141331471474382,-0.0027446388147524437,0.21446643714636443,0.00020705515272310387,-0.0014339957307606215,7.083781810086898e-06,-0.000680,-0.000105,0.175968,-0.004977,-0.002064,-0.682068,0.181184,0.063433,-0.044157,0.150880,-0.111010,-0.048521,-0.208040,0.130939,0.013889,-0.238344,-0.043504,0.009525,-0.030376,-0.086044,-0.077869,-0.038368,-0.100890,-0.003212,-0.023858,-0.056828,-0.042313,-0.031850,-0.071674,0.032345,0.005009,0.002133,0.682837,0.005009,0.002133,0.682837,0.005009,0.002133,0.682837,0.005009,0.002133,0.682837,0.000988,0.000000,0.000987,0.001655,0.001655,0.001655,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.0,0.0,0.0
2.092,0,-0.03141046809540016,-0.002761842946469451,0.21446558474137728,0.00023914159554800602,-0.0013484514203009144,-0.00010671811779424528,-0.000720,-0.000133,0.168723,-0.002693,-0.004038,-0.778588,0.211274,0.061114,-0.026680,0.198412,-0.117049,-0.013139,-0.185580,0.087312,-0.042105,-0.198442,-0.090850,-0.028564,0.036324,-0.002802,0.021025,0.057378,-0.007292,0.042638,0.027114,-0.052664,-0.067663,0.048168,-0.057154,-0.046050,0.002657,0.004070,0.779532,0.002657,0.004070,0.779532,0.002657,0.004070,0.779532,0.002657,0.004070,0.779532,0.000989,0.000000,0.000988,0.001728,0.001728,0.001728,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.0,0.0,0.0
2.104,0,-0.031407580254206265,-0.0027794881687449877,0.2144651677504579,0.000226828758059711,-0.0014437009947373763,3.423925817029605e-06,-0.000776,-0.000160,0.160554,-0.008667,-0.000814,-0.870410,0.215517,0.097349,-0.014827,0.201645,-0.079599,-0.038437,-0.182420,0.130533,-0.031043,-0.196292,-0.046416,-0.054653,0.005121,0.043744,0.014211,0.003903,0.045209,-0.030633,0.003813,0.052175,0.013256,0.002595,0.053640,-0.031588,0.008675,0.000766,0.871548,0.008675,0.000766,0.871548,0.008675,0.000766,0.871548,0.008675,0.000766,0.871548,0.000991,0.000000,0.000989,0.001797,0.001797,0.001797,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.004657,0.0,0.0,0.0
2.117,0,-0.03140444563928445,-0.0027968948330234435,0.2144642611693691,0.0002627889561876292,-0.0013671494951529946,-0.00011017157490618434,-0.000893,-0.000151,0.151452,-0.014545,0.002759,-0.969785,0.229614,0.108225,0.001825,0.229024,-0.070222,-0.019628,-0.163906,0.117429,-0.064284,-0.164496,-0.061018,-0.085737,0.017017,0.013128,0.019976,0.033049,0.011319,0.022579,0.022349,-0.015818,-0.040250,0.038381,-0.017627,-0.037647,0.014535,-0.002760,0.971149,0.014535,-0.002760,0.971149,0.014535,-0.002760,0.971149,0.014535,-0.002760,0.971149,0.000993,0.000000,0.000991,0.001864,0.001864,0.001864,0.004658,0.004658,0.004657,0.004658,0.004658,0.004657,0.004658,0.004658,0.004657,0.004658,0.004658,0.004657,0.0,0.0,0.0
