t, p_b_vpsp_x, p_b_vpsp_y, FL_cw_vp_x, FL_cw_vp_y, FR_cw_vp_x, FR_cw_vp_y, BL_cw_vp_x, BL_cw_vp_y, BR_cw_vp_x, BR_cw_vp_y, FL_ccw_vp_x, FL_ccw_vp_y, FR_ccw_vp_x, FR_ccw_vp_y, BL_ccw_vp_x, BL_ccw_vp_y, BR_ccw_vp_x, BR_ccw_vp_y, FL_vt_x, FL_vt_y, FR_vt_x, FR_vt_y, BL_vt_x, BL_vt_y, BR_vt_x, BR_vt_y, FL_phase, FR_phase, BL_phase, BR_phase
2.004,1.3877787807814457e-17,0.0,0.2,-5.1597282932358546e-08,0.15770472361917753,-0.09,-0.15770472361917753,0.09,-0.2,5.1597282932358546e-08,-1.1466062872778071e-07,0.09,0.2,-0.07096712562862989,-0.2,0.07096712562862989,1.1466062872778071e-07,-0.09,0.27885220194265314,0.12548349087419391,0.35770462108255624,-0.1609670794871503,-0.35770462108255624,0.1609670794871503,-0.27885220194265314,-0.12548349087419391,1,1,1,1
2.017,-1.3877787807814457e-17,0.0,0.2,0.008952782541810728,0.14786086820537597,-0.09,-0.14786086820537597,0.09,-0.2,-0.008952782541810728,0.019895072315134932,0.09,0.2,-0.06653739069241918,-0.2,0.06653739069241918,-0.019895072315134932,-0.09,0.3011797630816344,0.1355308933867355,0.36516266102675493,-0.16432319746203972,-0.36516266102675493,0.16432319746203972,-0.3011797630816344,-0.1355308933867355,1,1,1,1
2.029,0.0,0.0,0.2,0.01776695554794261,0.1365252299306839,-0.09,-0.1365252299306839,0.09,-0.2,-0.01776695554794261,0.03948212343987248,0.09,0.2,-0.06143635346880774,-0.2,0.06143635346880774,-0.03948212343987248,-0.09,0.321220503357165,0.14454922651072424,0.36974205660257076,-0.16638392547115682,-0.36974205660257076,0.16638392547115682,-0.321220503357165,-0.14454922651072424,1,1,1,1
2.042,1.3877787807814457e-17,0.0,0.2,0.02631022086252928,0.12367780416385726,-0.09,-0.12367780416385726,0.09,-0.2,-0.02631022086252928,0.05846715747228731,0.09,0.2,-0.055655011873735775,-0.2,0.055655011873735775,-0.05846715747228731,-0.09,0.3383837836839033,0.1522727026577565,0.3709891070296883,-0.16694509816335973,-0.3709891070296883,0.16694509816335973,-0.3383837836839033,-0.1522727026577565,1,1,1,1
2.054,0.0,0.0,0.2,0.034462631448159906,0.10934478363894273,-0.09,-0.10934478363894273,0.09,-0.2,-0.034462631448159906,0.07658362544035535,0.09,0.2,-0.04920515263752423,-0.2,0.04920515263752423,-0.07658362544035535,-0.09,0.35219106714498044,0.15848598021524118,0.36857164624427413,-0.16585724080992337,-0.36857164624427413,0.16585724080992337,-0.35219106714498044,-0.15848598021524118,1,1,1,1
2.067,0.0,0.0,0.2,0.042121511878929874,0.09360335973095525,-0.09,-0.09360335973095525,0.09,-0.2,-0.042121511878929874,0.09360335973095525,0.09,0.2,-0.042121511878929874,-0.2,0.042121511878929874,-0.09360335973095525,-0.09,0.36230901197873944,0.16303905539043276,0.36230901197873944,-0.16303905539043276,-0.36230901197873944,0.16303905539043276,-0.36230901197873944,-0.16303905539043276,1,1,1,1
2.079,0.0,0.0,0.2,0.04920515263752423,0.0765836254403553,-0.09,-0.0765836254403553,0.09,-0.2,-0.04920515263752423,0.10934478363894273,0.09,0.2,-0.03446263144815989,-0.2,0.03446263144815989,-0.10934478363894273,-0.09,0.3685716462442741,0.16585724080992334,0.3521910671449804,-0.15848598021524118,-0.3521910671449804,0.15848598021524118,-0.3685716462442741,-0.16585724080992334,1,1,1,1
2.092,-1.3877787807814457e-17,0.0,0.2,0.055655011873735775,0.05846715747228726,-0.09,-0.05846715747228726,0.09,-0.2,-0.055655011873735775,0.12367780416385726,0.09,0.2,-0.026310220862529266,-0.2,0.026310220862529266,-0.12367780416385726,-0.09,0.37098910702968824,0.16694509816335973,0.33838378368390326,-0.15227270265775647,-0.33838378368390326,0.15227270265775647,-0.37098910702968824,-0.16694509816335973,1,1,1,1
2.104,0.0,0.0,0.2,0.06143635346880777,0.03948212343987248,-0.09,-0.03948212343987248,0.09,-0.2,-0.06143635346880777,0.13652522993068394,0.09,0.2,-0.01776695554794261,-0.2,0.01776695554794261,-0.13652522993068394,-0.09,0.36974205660257076,0.16638392547115682,0.321220503357165,-0.14454922651072424,-0.321220503357165,0.14454922651072424,-0.36974205660257076,-0.16638392547115682,1,1,1,1
2.117,-1.3877787807814457e-17,0.0,0.2,0.06653739069241918,0.019895072315134932,-0.09,-0.019895072315134932,0.09,-0.2,-0.06653739069241918,0.14786086820537597,0.09,0.2,-0.008952782541810728,-0.2,0.008952782541810728,-0.14786086820537597,-0.09,0.36516266102675493,0.16432319746203972,0.3011797630816344,-0.1355308933867355,-0.3011797630816344,0.1355308933867355,-0.36516266102675493,-0.16432319746203972,1,1,1,1
2.129,0.0,4.2082060035156243e-05,0.2,0.07096712562862989,1.1466062871390292e-07,-0.09,-1.1466062871390292e-07,0.09005610941338021,-0.2,-0.07095525981970018,0.15770472361917753,0.09001186580892971,0.2,-5.1597282932358546e-08,-0.2,5.6161010663156874e-05,-0.15770472361917753,-0.09,0.3577048261557988,0.16097310467797565,0.2788525216765244,-0.125483634754436,-0.2788525216765244,0.12564009717884422,-0.3577048261557988,-0.16096123886224326,1,0,0,1
2.142,-1.3877787807814457e-17,0.0001977766982424467,0.2,0.07475216344610094,-0.039482123439872466,-0.09,0.039482123439872466,0.09026370226432326,-0.2,-0.07469649793932637,0.1661159187691132,0.09005566550677457,0.2,0.01776695554794261,-0.2,-0.017503253283619347,-0.1661159187691132,-0.09,0.3299783340237521,0.1485125885830512,0.22717931291925925,-0.10223069081366666,-0.22717931291925925,0.10297712106191095,-0.3299783340237521,-0.1484679120383257,1,0,0,1
2.154,0.0,0.0003734233644916013,0.2,0.07792883148753231,-0.0765836254403553,-0.09001840503739411,0.0765836254403553,0.09051630285671625,-0.2,-0.07782064815948678,0.17318406786084256,0.09011218237789237,0.2,0.03444422641076578,-0.2,-0.03394632859144364,-0.17318406786084256,-0.09000399904984684,0.3017345956774353,0.13581394704018382,0.1768507490268364,-0.0796355844330898,-0.1768507490268364,0.08106251992038033,-0.3017345956774353,-0.13574718906950795,1,0,0,1
2.167,0.0,0.00046858250516327443,0.2,0.08050853892357361,-0.10934478363894273,-0.09021776401030705,0.10934478363894273,0.09084254068385808,-0.2,-0.08036394819208939,0.17901985685220212,0.09019498739140155,0.2,0.048987388627217174,-0.2,-0.04836261195366614,-0.17901985685220212,-0.09005039665991733,0.2754102462462844,0.12396738057094425,0.13122792600071198,-0.05968301513069815,-0.13122792600071198,0.06149180563111873,-0.2754102462462844,-0.12390184105071173,1,0,0,1
2.179,0.0,0.0003604761731092962,0.2,0.08264549642342162,-0.13652522993068394,-0.09015616679765052,0.13652522993068394,0.09063680169512958,-0.2,-0.08252241654709846,0.18374552723751686,0.0901630707097841,0.2,0.06128018667115724,-0.2,-0.06079955177367818,-0.18374552723751686,-0.09003999083346095,0.25276816138508307,0.1137652037904118,0.09263278280098267,-0.0421405606085997,-0.09263278280098267,0.04354340296678802,-0.25276816138508307,-0.11372614145616294,1,0,0,1
2.192,0.0,0.00025195435978186617,0.2,0.08433008071417163,-0.15770472361917753,-0.0901302897887579,0.15770472361917753,0.09046622893513372,-0.2,-0.08423068440211247,0.18748584517425204,0.09013794592630094,0.2,0.07083683583987199,-0.2,-0.07050089669349617,-0.18748584517425204,-0.09003854961424178,0.23471497487537996,0.10563224868014541,0.06211969047866517,-0.028336577748729358,-0.06211969047866517,0.02932337521540794,-0.23471497487537996,-0.10561122870769653,1,0,0,1
2.204,6.938893903907228e-18,0.0001364853106204933,0.2,0.0855921387111515,-0.17318406786084256,-0.09019432038818098,0.17318406786084256,0.09037630080234164,-0.2,-0.08552671889409272,0.1903599880080763,0.0901352757095416,0.2,0.07773851014919816,-0.2,-0.0775565297350375,-0.1903599880080763,-0.09006985589248283,0.22134966137470538,0.09961173335205442,0.03957763344024595,-0.018383529958291928,-0.03957763344024595,0.018920699733899884,-0.22134966137470538,-0.0996029618851804,1,0,0,1
